token,Symbol
11655,JBMA
4491,JCHAC
23056,JGCHEM
11743,JINDALPHOT
1756,JINDALPOLY
3024,JINDALSAW
6733,JINDALSTEL
13875,JINDRILL
20642,JINDWORLD
18143,JIOFIN
19691,JITFINFRA
15266,JKIL
13491,JKLAKSHMI
11860,JKPAPER
14435,JKTYRE
18553,JLHL
23621,JNKINDIA
31507,JPOLYINVST
22663,JSFB
11236,JSL
17869,JSWENERGY
19020,JSWINFRA
11723,JSWSTEEL
18096,JUBLFOOD
2783,JUBLINGREA
3637,JUBLPHARMA
10939,JUNIORBEES
22824,JUNIPER
29962,JUSTDIAL
20224,JWL
15146,JYOTHYLAB
21334,JYOTICNC
1805,KABRAEXTRU
1808,KAJARIACER
2955,KALYANKJIL
18967,KAPSTON
15136,KAUSHALYA
14908,KDDL
13359,KFINTECH
425,KHADIM
19937,KILITCH
4847,KIMS
19126,KIOCL
16639,KIRIINDUS
18581,KIRLOSBROS
20936,KIRLOSENG
13381,KKCL
27084,KMEW
15283,KNRCON
15124,KOLTEPATIL
1922,KOTAKBANK
27079,KPEL
5108,KPIGREEN
1814,KPIL
9683,KPITTECH
14912,KPRMILL
10577,KRBL
5359,KRSNAA
23175,KRYSTAL
1949,KSB
14972,KSCL
11060,KSOLVES
11654,LALPATHLAB
13276,LANDMARK
14423,LAOPALA
6818,LATENTVIEW
19234,LAURUSLABS
18321,LGBBROSLTD
1994,LIBERTSHOE
1997,LICHSGFIN
9480,LICI
11319,LICNETFN50
11441,LICNETFSEN
15229,LICNFNHGP
578,LIKHITHA
11596,LINCOLN
17313,LLOYDSME
3220,LODHA
13436,LOKESHMACH
13816,LTFOODS
2018,LUMAXIND
14014,LUMAXTECH
10440,LUPIN
11301,LUXIND
2031,M&M
13285,M&MFIN
22347,MACPOWER
21392,MAGADSUGAR
8050,MAHLIFE
385,MAHLOG
2088,MAHSEAMLES
24538,MAITHANALL
7965,MALLCOM
28687,MAMATA
2106,MANGLMCEM
11884,MANINDS
15380,MANKIND
10227,MANORAMA
6422,MANORG
8167,MANYAVAR
7227,MAPMYINDIA
18659,MARATHON
4067,MARICO
10579,MARKSANS
2124,MASTEK
21726,MATRIMONY
19646,MAXESTATES
22377,MAXHEALTH
22428,MAXIND
28906,MAYURUNIQ
18866,MAZDA
509,MAZDOCK
12686,MBAPL
11956,MEDANTA
21705,MEDIASSIST
6278,MEDICAMEQ
7254,MEDPLUS
8153,MEGASTAR
25744,METAL
7242,METROBRAND
9581,METROPOLIS
2142,MFSL
17333,MHRIL
2463,MIDHANI
25897,MINDACORP
18049,MINDTECK
13844,MMFL
28046,MOBIKWIK
20830,MOIL
6713,MOLDTKPAC
7679,MONARCH
5938,MONTECARLO
14947,MOTILALOFS
4503,MPHASIS
10578,MPSLTD
9356,MSTCLTD
2709,MTARTECH
10415,MUTHOOTCAP
23650,MUTHOOTFIN
19015,MVGJL
15360,NAHARCAP
3918,NATCOPHARM
4014,NAVA
2987,NAZARA
22255,NDRAUTO
2388,NELCO
9917,NEOGEN
15409,NESCO
17963,NESTLEIND
7838,NETF
17433,NETWEB
1164,NEWGEN
17181,NEXT50
10277,NGLFINE
11840,NH
22488,NIFITETF
18102,NIFTY1
10576,NIFTYBEES
29553,NIFTYIETF
17747,NIITMTS
2421,NILKAMAL
14194,NINSYS
6782,NIPPOBATRY
13175,NITINSPIN
20314,NRAIL
7553,NRBBEARING
11630,NTPC
10791,NUCLEUS
2350,NURECA
5426,NUVOCO
10768,OAL
20242,OBEROIRLTY
10637,OLECTRA
2475,ONGC
2481,ONWARDTEC
21469,OPTIEMUS
926,ORCHPHARMA
14278,ORIENTBELL
30089,ORIENTCEM
24961,ORIENTTECH
17197,PAKKA
4055,PANACEABIO
25392,PANAMAPET
5911,PARAS
17029,PATANJALI
16192,PAVNAIND
6705,PAYTM
2649,PCBL
5264,PDSL
2412,PEL
11351,PETRONET
25358,PGEL
14260,PGIL
14552,PHOENIXLTD
2664,PIDILITIND
14134,PITTIENG
9087,PIXTRANS
22930,PLATIND
18908,PNBHOUSING
9385,PNCINFRA
25312,PNGJL
14385,POCL
19036,PODDARMENT
17651,POKARNA
6656,POLICYBZR
25718,POLYMED
2687,POLYPLEX
10661,PONNIERODE
11403,POONAWALLA
14977,POWERGRID
10473,POWERMECH
2705,PRAJIND
12603,PRECAM
17397,PREMEXPLN
25049,PREMIERENE
20302,PRESTIGE
19631,PRICOLLTD
16045,PRINCEPIPE
8825,PRIVISCL
9553,PRUDENT
20877,PSPPROJECT
15061,PSUBANK
4344,PUNJABCHEM
14922,PURVA
13147,PVRINOX
16819,QNIFTY
29087,QUADFUTURE
17704,QUESS
13116,QUICKHEAL
15391,RACE
27171,RACLGEAR
10990,RADICO
2431,RAILTEL
9408,RAINBOW
18962,RAJRATAN
2816,RALLIS
2043,RAMCOCEM
4587,RAMCOIND
7851,RAMCOSYS
20134,RAMKY
10485,RAMRAT
16751,RANEENGINE
2844,RANEHOLDIN
7177,RATEGAIN
13451,RATNAMANI
2859,RAYMOND
25073,RAYMONDLSL
16745,RBL
15355,RECLTD
17859,REDTAPE
17764,REFEX
24225,RELAXO
2885,RELIANCE
15068,RELIGARE
553,RELINFRA
29598,REPCOHOME
13126,REPRO
2912,RIIL
18417,RISHABH
8944,RITCO
3761,RITES
11411,RKFORGE
23043,RKSWAMY
13182,ROHLTD
5279,ROLEXRINGS
19410,ROSSARI
27353,ROSSTECH
9049,ROTO
128,ROUTE
24735,RPEL
16725,RPGLIFE
8119,RPSGVENT
22670,RPTECH
18566,RRKABEL
13414,RSYSTEMS
12219,RUSTOMJEE
9552,RVNL
2951,S&SPOWER
14900,SAHYADRI
27839,SAILIFE
9539,SAKAR
17351,SALONA
11399,SALZERELEC
28805,SANATHAN
2988,SANDESH
2397,SANDHAR
18359,SANDUMA
4184,SANGAMIND
14058,SANGHVIMOV
5751,SANSERA
6718,SAPPHIRE
17758,SARDAEN
4892,SAREGAMA
11983,SASKEN
20063,SASTASUNDR
4656,SBCL
17971,SBICARD
740,SBIETFIT
21808,SBILIFE
3045,SBIN
31234,SCHNEIDER
12072,SCPL
2616,SEAMECLTD
13598,SELAN
17271,SENCO
28888,SENORES
4378,SENSEXIETF
3066,SESHAPAPER
7361,SETFNIFBK
7353,SETFNN50
25574,SHAKTIPUMP
20321,SHANKARA
3078,SHANTIGEAR
4992,SHARDACROP
10530,SHARDAMOTR
104,SHAREINDIA
17044,SHARIABEES
17752,SHILPAMED
7016,SHIVALIK
